symbol_stack_unwind,num_filesystem_inputs,exit_status,perc_cpu_used,avg_size_unshared_data_area_Kb,num_waits,avg_size_unshared_text_area_Kb,max_resident_size_Kb,cpu_sec_user_mode,num_swapped,symbol_ro_data_local,avg_total_memory_used_Kb,symbol_unique_global,elapsed_real_time_sec,num_major_page_faults,symbol_ro_data_global,num_signals,num_involuntary_context_switch,symbol_text_global,FileName,num_minor_page_faults,symbol_text_local,FileSize,symbol_debug,num_socket_msg_sent,cpu_sec_kernel_mode,num_socket_msg_recv,num_filesystem_outputs
0,128,0,96%,0,133,0,69568,2.48,0,0,0,0,2.66,0,0,0,50,5,packages/zoltan/src/CMakeFiles/zoltan.dir/tpls/preprocessing.c.o,3057,1,37576,0,0,0.08,0,0
0,256,0,90%,0,168,0,67648,1.60,0,0,0,0,1.97,0,0,0,58,2,packages/zoltan/src/CMakeFiles/zoltan.dir/tpls/postprocessing.c.o,3015,0,29096,0,0,0.17,0,0
0,128,0,84%,0,132,0,63744,0.65,0,0,0,0,0.95,0,0,0,87,10,packages/zoltan/src/CMakeFiles/zoltan.dir/tpls/third_library.c.o,2926,0,16856,0,0,0.15,0,0
0,128,0,82%,0,128,0,65984,1.17,0,0,0,0,1.48,0,0,0,90,1,packages/zoltan/src/CMakeFiles/zoltan.dir/tpls/verify_graph.c.o,2974,1,19848,0,0,0.05,0,0
0,256,0,74%,0,119,0,63232,0.74,0,0,0,0,1.16,0,0,0,94,1,packages/zoltan/src/CMakeFiles/zoltan.dir/tpls/scatter_graph.c.o,2937,0,9360,0,0,0.12,0,0
0,128,0,74%,0,130,0,62784,0.46,0,0,0,0,0.78,0,0,0,37,2,packages/zoltan/src/CMakeFiles/zoltan.dir/tpls/build_graph.c.o,2911,0,3968,0,0,0.12,0,0
0,128,0,86%,0,178,0,65728,1.01,0,0,0,0,1.27,0,0,0,50,4,packages/zoltan/src/CMakeFiles/zoltan.dir/lb/lb_balance.c.o,2958,1,22112,0,0,0.09,0,0
0,128,0,77%,0,174,0,60992,0.45,0,0,0,0,0.69,0,0,0,48,2,packages/zoltan/src/CMakeFiles/zoltan.dir/lb/lb_box_assign.c.o,2883,0,2928,0,0,0.08,0,0
0,128,0,88%,0,147,0,65856,0.97,0,0,0,0,1.21,0,0,0,122,2,packages/zoltan/src/CMakeFiles/zoltan.dir/lb/lb_migrate.c.o,2960,1,24992,0,0,0.10,0,0
0,128,0,87%,0,142,0,62592,0.50,0,0,0,0,0.67,0,0,0,43,2,packages/zoltan/src/CMakeFiles/zoltan.dir/lb/lb_part2proc.c.o,2908,0,5024,0,0,0.08,0,0
