symbol_stack_unwind,num_filesystem_inputs,exit_status,perc_cpu_used,avg_size_unshared_data_area_Kb,num_waits,avg_size_unshared_text_area_Kb,max_resident_size_Kb,cpu_sec_user_mode,num_swapped,symbol_ro_data_local,avg_total_memory_used_Kb,symbol_unique_global,elapsed_real_time_sec,num_major_page_faults,symbol_ro_data_global,num_signals,num_involuntary_context_switch,symbol_text_global,FileName,num_minor_page_faults,symbol_text_local,FileSize,symbol_debug,num_socket_msg_sent,cpu_sec_kernel_mode,num_socket_msg_recv,num_filesystem_outputs
0,0,0,90%,0,147,0,51456,1.85,0,0,0,0,2.16,0,0,0,60,2,packages/zoltan/src/CMakeFiles/zoltan.dir/tpls/postprocessing.c.o,2572,0,114616,0,0,0.10,0,640
0,0,0,79%,0,145,0,37824,0.80,0,0,0,0,1.22,0,0,0,58,10,packages/zoltan/src/CMakeFiles/zoltan.dir/tpls/third_library.c.o,2272,0,85984,0,0,0.16,0,512
0,0,0,85%,0,137,0,43008,1.06,0,0,0,0,1.45,0,0,0,66,1,packages/zoltan/src/CMakeFiles/zoltan.dir/tpls/verify_graph.c.o,2380,1,48736,0,0,0.17,0,256
0,0,0,83%,0,139,0,38336,0.68,0,0,0,0,0.99,0,0,0,45,1,packages/zoltan/src/CMakeFiles/zoltan.dir/tpls/scatter_graph.c.o,2287,0,56048,0,0,0.14,0,384
0,0,0,80%,0,168,0,34944,0.45,0,0,0,0,0.73,0,0,0,64,2,packages/zoltan/src/CMakeFiles/zoltan.dir/tpls/build_graph.c.o,2220,0,50488,0,0,0.13,0,384
0,0,0,91%,0,164,0,42688,1.22,0,0,0,0,1.49,0,0,0,82,4,packages/zoltan/src/CMakeFiles/zoltan.dir/lb/lb_balance.c.o,2394,1,99784,0,0,0.14,0,768
0,0,0,78%,0,132,0,33280,0.35,0,0,0,0,0.65,0,0,0,79,2,packages/zoltan/src/CMakeFiles/zoltan.dir/lb/lb_box_assign.c.o,2189,0,44032,0,0,0.15,0,256
0,0,0,88%,0,139,0,42304,1.13,0,0,0,0,1.39,0,0,0,75,2,packages/zoltan/src/CMakeFiles/zoltan.dir/lb/lb_migrate.c.o,2397,1,97312,0,0,0.11,0,640
0,128,0,88%,0,137,0,34624,0.43,0,0,0,0,0.66,0,0,0,42,2,packages/zoltan/src/CMakeFiles/zoltan.dir/lb/lb_part2proc.c.o,2214,0,49136,0,0,0.15,0,256
0,0,0,81%,0,147,0,32896,0.34,0,0,0,0,0.60,0,0,0,68,4,packages/zoltan/src/CMakeFiles/zoltan.dir/lb/lb_free.c.o,2185,0,43152,0,0,0.14,0,256
